Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_03.raw
A0AUP1	A0AUP1	CC112_MOUSE	Ccdc112	Coiled-coil domain-containing protein 112	3.42278e+06	1.11941e+06	874717	6.85204e+06	4.25266e+06	1.11499e+06	3.12753e+06	1.0548e+06	1.06831e+06	8.3978e+06	4.38148e+06	1.68262e+06	646026	731009	702506	700893		
A2A3V1	A2A3V1	AK17B_MOUSE	Akap17b	A-kinase anchor protein 17B	1.25599e+06	1.13901e+06	875291				1.08426e+06	968410	821248	5.03919e+06	1.06978e+06	1.31342e+06						
A2A432	A2A432;A2A432-2	CUL4B_MOUSE	Cul4b	Cullin-4B	864539	378327	373704	1.23915e+06	1.14501e+06	454697	2.42568e+06	686384	352381	1.46377e+06	1.07318e+06	519524	2.75299e+06	3.05851e+06	3.41294e+06	2.95889e+06	2.96765e+06	3.21767e+06
A2A432;Q3TCH7	A2A432;A2A432-2;Q3TCH7	CUL4A_MOUSE;CUL4B_MOUSE	Cul4a;Cul4b	Cullin-4B	296692	387308	191492	1.95442e+06	1.58315e+06	303289	545421	1.02795e+06	406344	2.09538e+06	1.2831e+06	136391	3.43755e+06	3.25719e+06	3.44508e+06	3.63701e+06	3.54235e+06	3.83551e+06
A2A4P0	A2A4P0	DHX8_MOUSE	Dhx8	ATP-dependent RNA helicase DHX8	1.09777e+06	459015	41168.7	1.17799e+06	776602	328087	732597			1.15899e+06	758348	373968	2.88559e+06	2.57783e+06	2.44067e+06	2.67988e+06	2.65533e+06	2.07253e+06
A2A4P0;O35286	O35286;A2A4P0	DHX15_MOUSE;DHX8_MOUSE	Dhx15;Dhx8	ATP-dependent RNA helicase DHX8	2.96337e+06	2.7421e+06	1.11072e+06	7.52424e+06	6.76404e+06	1.83205e+06	6.31466e+06	2.37243e+06	1.55383e+06	3.40541e+06	5.40146e+06	2.23321e+06	1.51772e+07	1.81895e+07	1.29527e+07	1.66493e+07	1.65543e+07	1.43511e+07
A2A5R2	A2A5R2	BIG2_MOUSE	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2				475868	161543					580930			767138	682258	790373	834072	903772	719217
A2A5Z6;A2A5Z6-2	A2A5Z6;A2A5Z6-2	SMUF2_MOUSE	Smurf2	E3 ubiquitin-protein ligase SMURF2	929609	282629	392508	80497.9	188348	120548	471730	392803	429420		302059	36482.7	429341	294757	384819	299308	349497	213361
A2A6A1	A2A6A1	GPTC8_MOUSE	Gpatch8	G patch domain-containing protein 8	502776	106325	102063	351481	161153	165698	727221	198414	94813.9	391793	259593	76130.3	839081	968855	1.08747e+06	796205	950479	1.03872e+06
A2A6Q5;A2A6Q5-3	A2A6Q5;A2A6Q5-2;A2A6Q5-3	CDC27_MOUSE	Cdc27	Cell division cycle protein 27 homolog	2.55463e+06	286851	433492	2.90861e+06	1.24467e+06	510184	2.12269e+06	195661	446267	3.12652e+06	1.2516e+06		2.77331e+06	2.51384e+06	2.74189e+06	2.60007e+06	2.6327e+06	2.38119e+06
A2A6T1	A2A6T1	CDR2L_MOUSE	Cdr2l	Cerebellar degeneration-related protein 2-like		174148			146526	336082		41930.9	113768	231931	125686	327289						
A2A791	A2A791;A2A791-2	ZMYM4_MOUSE	Zmym4	Zinc finger MYM-type protein 4	1.68073e+06	559839	319055	2.04109e+06	1.23721e+06		2.05155e+06	453202	176425	2.1775e+06	1.02206e+06	579731	2.63884e+06	3.3358e+06	2.74018e+06	3.09063e+06	3.43939e+06	3.00722e+06
A2A7S8;A2A7S8-2	A2A7S8;A2A7S8-2;A2A7S8-3;A2A7S8-4	K1522_MOUSE	Kiaa1522	Uncharacterized protein KIAA1522	292952	110414	115293	1.25567e+06	439326	335395	556183	299269		1.60308e+06	807874	421837	647948	540544	643234	666627	503058	716525
A2A7Y5;A2A7Y5-2	A2A7Y5;A2A7Y5-2	MIIP_MOUSE	Miip	Migration and invasion-inhibitory protein	174275			1.12646e+06	618980	255116				643045	713496	178104				99713.2	50154.2	
A2A8L1;Q6PDQ2	Q6PDQ2;A2A8L1	CHD4_MOUSE;CHD5_MOUSE	Chd4;Chd5	Chromodomain-helicase-DNA-binding protein 5	8.44682e+06	5.04812e+06	2.78237e+06	1.03297e+07	8.10838e+06	4.22962e+06	6.89484e+06	4.61681e+06	3.3426e+06	1.04359e+07	8.64711e+06	4.47304e+06	2.08685e+07	2.43476e+07	2.30028e+07	2.02331e+07	2.24525e+07	2.29666e+07
